RAW_TABLE_NAME,RAW_COLUMN_NAME,TARGET_COLUMN_NAME,TARGET_DATA_TYPE,TARGET_ORDER_NUM
CANDIDATES,_OFFSET,_offset,NUMBER,1
CANDIDATES,CANDIDATE_ID,candidate_id,VARCHAR,2
CANDIDATES,PRIMARY_SKILL_ID,primary_skill_id,VARCHAR,3
CANDIDATES,STAFFING_STATUS,staffing_status,VARCHAR,4
CANDIDATES,ENGLISH_LEVEL,english_level,VARCHAR,5
CANDIDATES,JOB_FUNCTION_ID,job_function_id,VARCHAR,6
CANDIDATES,_CREATED_MICROS,_created_micros,TIMESTAMP,7
CANDIDATES,_UPDATED_MICROS,_updated_micros,TIMESTAMP,8
EMPLOYEES,_OFFSET,_offset,NUMBER,1
EMPLOYEES,EMPLOYEE_ID,employee_id,VARCHAR,2
EMPLOYEES,JOB_FUNCTION_ID,job_function_id,VARCHAR,3
EMPLOYEES,PRIMARY_SKILL_ID,primary_skill_id,VARCHAR,4
EMPLOYEES,PRODUCTION_CATEGORY,production_category,VARCHAR,5
EMPLOYEES,EMPLOYMENT_STATUS,employment_status,VARCHAR,6
EMPLOYEES,ORG_CATEGORY,org_category,VARCHAR,7
EMPLOYEES,ORG_CATEGORY_TYPE,org_category_type,VARCHAR,8
EMPLOYEES,WORK_START_MICROS,work_start_micros,VARCHAR,9
EMPLOYEES,WORK_END_MICROS,work_end_micros,VARCHAR,10
EMPLOYEES,IS_ACTIVE,is_active,VARCHAR,11
EMPLOYEES,_CREATED_MICROS,_created_micros,TIMESTAMP,12
EMPLOYEES,_UPDATED_MICROS,_updated_micros,TIMESTAMP,13
INTERVIEWS,_OFFSET,_offset,NUMBER,1
INTERVIEWS,ID,id,VARCHAR,2
INTERVIEWS,CANDIDATE_TYPE,candidate_type,VARCHAR,3
INTERVIEWS,CANDIDATE_ID,candidate_id,VARCHAR,4
INTERVIEWS,STATUS,status,VARCHAR,5
INTERVIEWS,INTERVIEWER_ID,interviewer_id,VARCHAR,6
INTERVIEWS,LOCATION,location,VARCHAR,7
INTERVIEWS,LOGGED,logged,VARCHAR,8
INTERVIEWS,MEDIA_AVAILABLE,media_available,VARCHAR,9
INTERVIEWS,RUN_TYPE,run_type,VARCHAR,10
INTERVIEWS,TYPE,type,VARCHAR,11
INTERVIEWS,MEDIA_STATUS,media_status,VARCHAR,12
INTERVIEWS,INVITE_ANSWER_STATUS,invite_answer_status,VARCHAR,13
INTERVIEWS,_CREATED_MICROS,_created_micros,TIMESTAMP,14
INTERVIEWS,_UPDATED_MICROS,_updated_micros,TIMESTAMP,15
JOB_FUNCTIONS,_OFFSET,_offset,NUMBER,1
JOB_FUNCTIONS,JOB_FUNCTION_ID,job_function_id,VARCHAR,2
JOB_FUNCTIONS,BASE_NAME,base_name,VARCHAR,3
JOB_FUNCTIONS,CATEGORY,category,VARCHAR,4
JOB_FUNCTIONS,IS_ACTIVE,is_active,VARCHAR,5
JOB_FUNCTIONS,LEVEL,level,VARCHAR,6
JOB_FUNCTIONS,TRACK,track,VARCHAR,7
JOB_FUNCTIONS,SENIORITY_LEVEL,seniority_level,VARCHAR,8
JOB_FUNCTIONS,SENIORITY_INDEX,seniority_index,VARCHAR,9
JOB_FUNCTIONS,_CREATED_MICROS,_created_micros,TIMESTAMP,10
JOB_FUNCTIONS,_UPDATED_MICROS,_updated_micros,TIMESTAMP,11
SKILLS,_OFFSET,_offset,NUMBER,1
SKILLS,ID,id,VARCHAR,2
SKILLS,IS_ACTIVE,is_active,VARCHAR,3
SKILLS,IS_PRIMARY,is_primary,VARCHAR,4
SKILLS,IS_KEY,is_key,VARCHAR,5
SKILLS,IS_KEY_REASON,is_key_reason,VARCHAR,6
SKILLS,TYPE,type,VARCHAR,7
SKILLS,NAME,name,VARCHAR,8
SKILLS,URL,url,VARCHAR,9
SKILLS,PARENT_ID,parent_id,VARCHAR,10
SKILLS,_CREATED_MICROS,_created_micros,TIMESTAMP,11
SKILLS,_UPDATED_MICROS,_updated_micros,TIMESTAMP,12
